지역명,연,월,평균기온,평균최저기온,평균최고기온
대전광역시,2020,6,24.1,20.0,29.0
대전광역시,2020,7,23.6,20.7,27.2
대전광역시,2021,1,-1.0,-6.0,4.6
대전광역시,2021,2,4.0,-1.6,10.0
대전광역시,2021,3,9.6,4.0,15.9
대전광역시,2021,4,14.7,8.9,20.9
대전광역시,2021,5,17.7,12.8,23.1
대전광역시,2021,6,23.5,19.1,28.5
대전광역시,2021,7,27.8,24.0,32.3
대전광역시,2022,1,-0.8,-5.9,5.2
대전광역시,2022,2,0.1,-5.2,6.1
대전광역시,2022,3,8.3,2.5,14.5
대전광역시,2022,4,14.9,8.3,21.9
대전광역시,2022,5,19.4,12.7,26.3
대전광역시,2022,6,24.1,19.8,29.4
대전광역시,2022,7,27.0,23.4,31.5
대전광역시,2023,1,-0.9,-5.9,5.3
대전광역시,2023,2,2.4,-2.9,8.8
대전광역시,2023,3,10.2,3.0,17.8
대전광역시,2023,4,13.7,7.6,19.9
대전광역시,2023,5,19.0,13.2,25.0
대전광역시,2023,6,23.6,18.9,29.2
대전광역시,2023,7,25.8,22.6,30.2
대전광역시,2024,1,0.3,-3.9,5.3
대전광역시,2024,2,4.3,0.2,9.1
부산광역시,2020,1,6.4,3.1,10.9
부산광역시,2020,2,7.1,3.1,11.8
부산광역시,2020,3,10.4,6.4,15.0
부산광역시,2020,4,12.6,8.9,17.5
부산광역시,2020,5,17.9,15.0,21.8
부산광역시,2020,6,22.4,19.5,26.6
부산광역시,2020,7,22.1,20.3,24.8
부산광역시,2021,1,3.3,-0.8,7.9
부산광역시,2021,2,7.2,3.2,11.9
부산광역시,2021,3,11.4,7.7,15.9
부산광역시,2021,4,14.7,10.8,19.7
부산광역시,2021,5,17.7,14.7,21.5
부산광역시,2021,6,21.9,19.3,25.4
부산광역시,2021,7,26.3,24.0,29.5
부산광역시,2022,1,4.0,0.0,9.2
부산광역시,2022,2,3.6,-0.5,8.8
부산광역시,2022,3,10.5,6.8,14.8
부산광역시,2022,4,14.9,11.4,19.1
부산광역시,2022,5,19.0,15.3,23.4
부산광역시,2022,6,21.7,19.4,24.9
부산광역시,2022,7,26.2,23.7,29.7
부산광역시,2023,1,3.8,-0.2,8.9
부산광역시,2023,2,6.8,2.9,11.8
부산광역시,2023,3,12.3,8.5,17.0
부산광역시,2023,4,14.6,11.0,19.0
부산광역시,2023,5,17.9,14.9,21.6
부산광역시,2023,6,22.5,19.9,26.0
부산광역시,2023,7,25.5,23.3,28.5
부산광역시,2024,1,5.1,1.3,9.8
부산광역시,2024,2,7.4,4.2,11.5
서울특별시,2020,1,1.6,-1.7,5.9
서울특별시,2020,2,2.5,-1.3,7.2
서울특별시,2020,3,7.7,2.6,13.3
서울특별시,2020,4,11.1,6.3,16.6
서울특별시,2020,5,18.0,13.7,23.3
서울특별시,2020,6,23.9,19.9,29.0
서울특별시,2020,7,24.1,21.1,28.0
서울특별시,2021,1,-2.4,-6.8,2.2
서울특별시,2021,2,2.7,-2.2,7.9
서울특별시,2021,3,9.0,4.3,14.8
서울특별시,2021,4,14.2,9.5,19.5
서울특별시,2021,5,17.1,12.8,21.9
서울특별시,2021,6,22.8,18.9,27.6
서울특별시,2021,7,28.1,24.6,32.2
서울특별시,2022,1,-2.2,-6.2,2.6
서울특별시,2022,2,-1.1,-5.3,3.8
서울특별시,2022,3,7.7,3.2,12.7
서울특별시,2022,4,14.8,10.0,20.6
서울특별시,2022,5,19.1,13.9,25.0
서울특별시,2022,6,23.3,19.8,27.5
서울특별시,2022,7,27.3,24.2,31.0
서울특별시,2023,1,-1.5,-5.7,3.2
서울특별시,2023,2,2.3,-1.9,7.3
서울특별시,2023,3,9.8,4.2,16.2
서울특별시,2023,4,13.8,8.8,19.0
서울특별시,2023,5,19.5,14.6,25.0
서울특별시,2023,6,23.4,19.7,27.9
서울특별시,2023,7,26.7,23.9,30.2
서울특별시,2024,1,-0.5,-3.9,3.6
서울특별시,2024,2,3.8,0.2,8.2
세종특별자치시,2020,1,2.1,-1.7,7.1
세종특별자치시,2020,2,2.9,-1.9,8.3
세종특별자치시,2020,3,7.8,1.7,14.3
세종특별자치시,2020,4,10.8,4.3,17.9
세종특별자치시,2020,5,18.2,13.0,24.0
세종특별자치시,2020,6,23.2,18.9,28.5
세종특별자치시,2020,7,23.2,20.1,27.1
세종특별자치시,2021,1,-1.7,-6.6,3.3
세종특별자치시,2021,2,3.2,-2.2,9.0
세종특별자치시,2021,3,8.8,3.2,15.1
세종특별자치시,2021,4,13.9,8.1,20.1
세종특별자치시,2021,5,16.8,11.7,22.4
세종특별자치시,2021,6,22.6,18.2,27.8
세종특별자치시,2021,7,26.9,23.0,31.7
세종특별자치시,2022,1,-1.4,-6.6,4.2
