지역명,연,월,대상가구수,평균사용량,평균금액
경상남도,2022,2,1863518,231.94,27348
경상남도,2022,3,1865456,205.96,22581
경상남도,2022,4,1867717,207.75,22556
경상남도,2022,5,1867876,190.44,20443
경상남도,2022,6,1869569,196.6,21430
경상남도,2022,7,1870356,246.87,27672
경상남도,2022,8,1871289,295.57,34123
경상남도,2022,9,1871185,241.0,26434
경상남도,2022,10,1871203,196.16,21973
경상남도,2022,11,1871248,198.82,23503
경상남도,2022,12,1873726,213.24,25552
경상남도,2023,1,1873851,234.75,31466
경상남도,2023,2,1875881,227.81,31650
경상남도,2023,3,1876775,195.61,25584
경상남도,2023,4,1879060,199.24,26380
경상남도,2023,5,1884639,191.56,25076
경상남도,2023,6,1887474,197.01,27280
경상남도,2023,7,1889731,228.14,31350
경상남도,2023,8,1890027,300.68,44305
경상남도,2023,9,1891739,265.04,38988
경상남도,2023,10,1894326,200.53,27894
경상남도,2023,11,1897437,194.88,27176
경상남도,2023,12,1900220,210.45,29903
경상남도,2024,1,1904859,228.01,28860
경상남도,2024,2,1906091,225.36,33024
경상남도,2024,3,1908779,205.61,29023
경상남도,2024,4,1913521,201.31,28428
경상남도,2024,5,1916246,186.66,25907
경상남도,2024,6,1913212,193.58,27682
경상남도,2024,7,1917948,236.46,28125
경상북도,2020,1,1586466,204.35,22420
경상북도,2020,2,1587795,205.79,22660
경상북도,2020,3,1586315,192.24,20467
경상북도,2020,4,1589412,193.7,20946
경상북도,2020,5,1589270,180.46,18596
경상북도,2020,6,1592342,182.99,18844
경상북도,2020,7,1595859,184.28,17370
경상북도,2020,8,1597363,224.7,21899
경상북도,2020,9,1599758,235.41,25734
경상북도,2020,10,1601855,177.8,17694
경상북도,2020,11,1603700,186.41,19258
경상북도,2020,12,1604539,197.33,21120
경상북도,2021,1,1605801,221.36,25215
경상북도,2021,2,1607704,212.17,23468
경상북도,2021,3,1608180,183.73,18254
경상북도,2021,4,1609182,187.99,19291
경상북도,2021,5,1609588,177.48,17581
