대상가구수,평균사용량,평균금액,평균기온,평균최저기온,평균최고기온,등록공장수,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수
779834,269.72,29691,27.0,23.8,31.1,4595,1434703,650708,2.2,709305,725398
783091,247.05,31153,1.7,-2.5,6.7,4647,1429816,652374,2.19,706724,723092
783318,241.2,32016,4.2,-0.5,10.1,4658,1428927,653209,2.19,706167,722760
786074,207.4,25782,11.2,5.1,18.2,4691,1427508,653806,2.18,705471,722037
787353,214.52,27077,14.7,9.4,20.8,4701,1426625,654192,2.18,704974,721651
789482,204.69,25451,19.4,14.9,25.0,4719,1425739,654682,2.18,704489,721250
790308,213.53,28225,23.4,19.5,28.8,4733,1424818,655025,2.18,703887,720931
791540,248.68,33280,26.3,23.4,30.3,4753,1424305,655435,2.17,703548,720757
797850,241.97,34194,3.0,-0.5,7.3,4719,1418241,655359,2.16,700377,717864
798544,239.67,33731,6.1,2.3,10.6,4713,1417031,656017,2.16,699715,717316
1205330,241.59,26043,3.8,0.1,8.4,8072,2436488,1032478,2.36,1204387,1232101
1206343,242.79,26319,4.9,0.2,10.4,8065,2432883,1033349,2.35,1202364,1230519
1209408,229.16,23907,9.5,3.6,15.8,7922,2433568,1037956,2.34,1202273,1231295
1210346,231.15,24388,12.6,6.5,19.0,7934,2431523,1041932,2.33,1200899,1230624
1210674,215.54,21627,19.4,14.0,25.7,7976,2429059,1044412,2.33,1199504,1229555
1211536,224.73,23090,24.5,19.3,30.5,8013,2427954,1046585,2.32,1198815,1229139
1213348,230.36,22254,23.2,20.2,26.8,8039,2428022,1048735,2.32,1198621,1229401
1213769,259.98,28856,0.5,-4.3,5.9,8085,2415813,1058117,2.28,1191656,1224157
1214816,251.63,27285,4.8,-0.6,11.1,8094,2413191,1059963,2.28,1190244,1222947
1214843,218.16,21199,10.2,4.7,16.1,8131,2408875,1060866,2.27,1188070,1220805
1216366,224.53,22376,14.5,8.8,20.6,8168,2406296,1061829,2.27,1186663,1219633
1220023,210.84,20100,18.3,12.8,24.3,8197,2402940,1061872,2.26,1184977,1217963
1221778,220.48,21559,23.2,18.9,28.5,8208,2397646,1059826,2.26,1182380,1215266
1223107,244.62,23987,26.9,22.9,32.1,8214,2395749,1060394,2.26,1181351,1214398
1220497,251.49,28788,0.9,-4.1,6.8,8218,2383858,1064438,2.24,1174667,1209191
1220904,251.98,28904,1.6,-3.4,7.4,8218,2381095,1065477,2.23,1173039,1208056
1219746,222.6,23365,9.7,3.8,15.9,8247,2380494,1068557,2.23,1172632,1207862
1221948,227.63,23589,15.9,9.4,22.7,8268,2378573,1069411,2.22,1171451,1207122
1225740,207.97,21053,20.7,14.1,27.4,8274,2376676,1070212,2.22,1170309,1206367
1227517,222.42,23341,24.3,19.8,29.7,8286,2375306,1070705,2.22,1169571,1205735
1229277,289.66,33502,27.5,23.7,32.4,8316,2374120,1071366,2.22,1168845,1205275
